N;Price;Dist;house;area;Eco
1;300;20;400;22;1
2;60;18;170;6;0
3;14;90;60;11;1
4;38;18;65;6;1
5;85;25;320;20;0
6;85;19;210;20;0
7;28;30;60;5;1
8;83;45;228;20;0
9;80;25;200;20;1
10;15;46;36;10;1
11;27;86;180;17;0
12;42;85;250;15;1
13;5,5;85;36;12;0
14;47;74;285;15;0
15;5;95;36;10;0
16;59;9;420;10;0
17;27;12;130;6;0
18;270;15;350;15;1
19;96;39;300;15;0
20;95;25;200;14;0
21;6;65;36;6;0
22;120;28;300;32;1
23;135;30;170;15;1
24;315;25;450;25;1
25;10;105;36;12;0
26;230;30;350;18;1
27;15;100;46;15;0
28;130;27;130;15;1
29;16,5;75;56;15;0
30;7;100;46;15;0
31;110;25;170;10;1
32;13;50;70;6;1
33;17;85;56;8;0
34;30;25;80;8;1
35;220;26;500;40;1
36;95;23;530;19;0
37;45;25;350;7;0
38;120;26;150;10;1
39;95;45;370;15;1
40;120;20;300;24;1
41;16,5;60;78;8,5;0
42;25;50;80;10;1
43;20;25;65;6;0
44;20;45;90;6;0
45;100;7;600;15;1
46;25;33;85;11;0
47;50;85;100;10;1
48;8,5;50;22;14;1
49;16,5;51;60;8;0
50;320;0,5;300;15;1
