Дата замера;Время;Способ эксплуатации;Режим;Рпр(ТМ);Рзаб(Рпр);Рзаб(Нд);Рзаб(иссл)
2018-01-01;00:00:00;8;1;52.1;72.0;54.4;
2018-01-02;00:00:00;8;1;51.0;71.0;53.3;
2018-01-03;00:00:00;8;1;52.0;71.0;52.8;
2018-01-04;00:00:00;8;1;52.2;71.0;52.8;
2018-01-05;00:00:00;8;1;54.0;71.0;52.6;
2018-01-06;00:00:00;8;1;52.0;71.0;52.6;
2018-01-07;00:00:00;8;1;52.0;69.0;50.0;
2018-01-08;00:00:00;8;1;52.0;69.0;50.0;
2018-01-09;00:00:00;8;1;53.0;69.0;50.0;
2018-01-10;00:00:00;8;1;53.1;69.0;50.6;
2018-01-11;00:00:00;8;1;56.0;69.0;50.6;
2018-01-12;00:00:00;8;1;56.0;74.9;53.1;
2018-01-13;00:00:00;8;1;55.3;74.0;53.8;
2018-01-14;00:00:00;8;1;55.0;74.0;53.8;
2018-01-15;00:00:00;8;1;55.0;74.0;53.8;
2018-01-16;00:00:00;8;1;55.0;74.0;53.8;
2018-01-17;00:00:00;8;1;54.9;74.0;54.4;
2018-01-18;00:00:00;8;1;54.0;73.0;53.3;
2018-01-19;00:00:00;8;1;54.0;73.0;53.3;
2018-01-20;00:00:00;8;1;53.9;73.0;53.3;
2018-01-21;00:00:00;8;1;52.4;73.1;53.9;
2018-01-22;00:00:00;8;1;52.9;73.1;53.9;
2018-01-23;00:00:00;8;1;56.0;74.1;53.9;
2018-01-24;00:00:00;8;1;56.0;74.1;53.9;
2018-01-25;00:00:00;8;1;56.3;74.1;53.9;
2018-01-26;00:00:00;8;1;52.6;69.2;51.5;
2018-01-27;00:00:00;8;1;53.0;69.2;51.0;
2018-01-28;00:00:00;8;1;51.0;69.2;51.0;
2018-01-29;00:00:00;8;1;52.3;69.2;51.0;
2018-01-30;00:00:00;8;1;46.7;69.2;51.0;
2018-01-31;00:00:00;8;1;51.0;69.2;51.0;
2018-02-01;00:00:00;4;1;44.0;69.2;;
2018-02-02;00:00:00;4;1;54.0;69.1;;
2018-02-03;00:00:00;4;1;52.0;69.1;;
2018-02-04;00:00:00;4;1;54.0;73.0;;
2018-02-05;00:00:00;4;1;54.0;73.0;;
2018-02-06;00:00:00;4;1;52.0;73.0;;
