Дата замера;Скважина;Время;Способ эксплуатации;Режим;Рпр(ТМ);Рзаб(Рпр);Рзаб(Нд);Рзаб(иссл)
2018-01-01;105-1Д;00:00:00;1;1;0.0;168.1;118.0;68.0
2018-01-02;105-1Д;00:00:00;1;1;0.0;168.1;118.0;68.0
2018-01-03;105-1Д;00:00:00;1;1;0.0;168.1;118.0;68.0
2018-01-04;105-1Д;00:00:00;1;1;0.0;168.1;118.0;68.0
2018-01-05;105-1Д;00:00:00;1;1;0.0;168.1;118.0;68.0
2018-01-06;105-1Д;00:00:00;1;1;0.0;168.1;118.0;68.0
2018-01-07;105-1Д;00:00:00;1;1;0.0;168.1;118.0;68.0
2018-01-08;105-1Д;00:00:00;1;1;0.0;168.1;118.0;68.0
2018-01-09;105-1Д;00:00:00;1;1;0.0;168.1;118.0;68.0
2018-01-10;105-1Д;00:00:00;1;1;0.0;168.1;118.0;68.0
2018-01-11;105-1Д;00:00:00;1;1;0.0;168.1;118.0;68.0
2018-01-12;105-1Д;00:00:00;1;1;0.0;168.1;118.0;68.0
2018-01-13;105-1Д;00:00:00;1;1;0.0;168.1;118.0;68.0
2018-01-14;105-1Д;00:00:00;1;1;0.0;168.1;118.0;68.0
2018-01-15;105-1Д;00:00:00;1;1;0.0;168.1;118.0;68.0
2018-01-16;105-1Д;00:00:00;1;1;0.0;168.1;118.0;68.0
2018-01-17;105-1Д;00:00:00;1;1;0.0;168.1;118.0;68.0
2018-01-18;105-1Д;00:00:00;1;1;0.0;168.1;118.0;68.0
2018-01-19;105-1Д;00:00:00;1;1;0.0;168.1;118.0;61.5
2018-01-20;105-1Д;00:00:00;1;1;0.0;168.1;118.0;61.5
2018-01-21;105-1Д;00:00:00;1;1;0.0;168.1;118.0;61.5
2018-01-22;105-1Д;00:00:00;1;1;0.0;168.1;118.0;61.5
2018-01-23;105-1Д;00:00:00;1;1;0.0;168.1;118.0;61.5
2018-01-24;105-1Д;00:00:00;1;1;0.0;168.1;118.0;61.5
2018-01-25;105-1Д;00:00:00;1;1;0.0;168.1;118.0;61.5
2018-01-26;105-1Д;00:00:00;1;1;0.0;168.1;118.0;61.5
2018-01-27;105-1Д;00:00:00;1;1;0.0;168.1;118.0;61.5
2018-01-28;105-1Д;00:00:00;1;1;0.0;168.1;118.0;61.5
2018-01-29;105-1Д;00:00:00;1;1;0.0;168.1;118.0;61.5
2018-01-30;105-1Д;00:00:00;1;1;0.0;168.1;118.0;61.5
2018-01-31;105-1Д;00:00:00;1;1;0.0;168.1;118.0;61.5
2018-02-01;105-1Д;00:00:00;1;1;0.0;168.1;118.0;61.5
2018-02-02;105-1Д;00:00:00;1;1;0.0;168.1;118.0;61.5
2018-02-03;105-1Д;00:00:00;1;1;0.0;168.1;118.0;61.5
2018-02-04;105-1Д;00:00:00;1;1;0.0;168.1;118.0;61.5
2018-02-05;105-1Д;00:00:00;1;1;0.0;168.1;118.0;61.5
2018-02-06;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-02-07;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-02-08;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-02-09;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-02-10;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-02-11;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-02-12;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-02-13;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-02-14;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-02-15;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-02-16;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-02-17;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-02-18;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-02-19;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-02-20;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-02-21;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-02-22;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-02-23;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-02-24;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-02-25;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-02-26;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-02-27;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-02-28;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-03-01;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-03-02;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-03-03;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-03-04;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-03-05;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-03-06;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-03-07;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-03-08;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-03-09;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-03-10;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-03-11;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-03-12;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-03-13;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-03-14;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-03-15;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-03-16;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.4
2018-03-17;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-03-18;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-03-19;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-03-20;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-03-21;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-03-22;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-03-23;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-03-24;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-03-25;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-03-26;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-03-27;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-03-28;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-03-29;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-03-30;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-03-31;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-01;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-02;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-03;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-04;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-05;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-06;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-07;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-08;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-09;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-10;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-11;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-12;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-13;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-14;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-15;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-16;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-17;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-18;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-19;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-20;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-21;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-24;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-25;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-26;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-27;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-28;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-29;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-04-30;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-05-01;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-05-02;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-05-03;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-05-04;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-05-05;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-05-06;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-05-07;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-05-08;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-05-09;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-05-10;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-05-11;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-05-12;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-05-13;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-05-14;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-05-15;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-05-16;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.7
2018-05-17;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.7
2018-05-18;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.7
2018-05-19;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.7
2018-05-20;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.7
2018-05-21;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.7
2018-05-22;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.7
2018-05-23;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.7
2018-05-24;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.7
2018-05-25;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.7
2018-05-26;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.7
2018-05-27;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.7
2018-05-28;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.7
2018-05-29;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-05-30;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-05-31;105-1Д;00:00:00;1;1;0.0;168.1;118.0;66.0
2018-06-01;105-1Д;00:00:00;1;2;0.0;168.1;118.0;66.0
2018-06-02;105-1Д;00:00:00;1;2;0.0;168.1;118.0;66.0
2018-06-03;105-1Д;00:00:00;1;2;0.0;168.1;118.0;66.0
2018-06-04;105-1Д;00:00:00;1;2;0.0;168.1;118.0;66.0
2018-06-05;105-1Д;00:00:00;1;2;0.0;168.1;118.0;66.0
2018-06-06;105-1Д;00:00:00;1;2;0.0;168.1;118.0;66.0
2018-06-07;105-1Д;00:00:00;1;2;0.0;168.1;118.0;66.0
2018-06-08;105-1Д;00:00:00;1;2;0.0;168.1;118.0;66.0
2018-06-09;105-1Д;00:00:00;1;2;0.0;168.1;118.0;66.0
