Дата замера;Время;Способ эксплуатации;Режим;Рпр(ТМ);Рзаб(Рпр);Рзаб(Нд);Рзаб(иссл)
2018-01-01;00:00:00;8;2;;53.7;53.6;53.0
2018-01-02;00:00:00;8;2;;53.7;50.7;53.0
2018-01-03;00:00:00;8;2;;53.7;51.2;53.0
2018-01-04;00:00:00;8;2;;53.7;51.2;53.0
2018-01-05;00:00:00;8;2;;53.7;51.2;53.0
2018-01-06;00:00:00;8;2;;53.7;51.6;53.0
2018-01-07;00:00:00;8;2;;53.7;51.2;53.0
2018-01-08;00:00:00;8;2;;53.7;50.9;53.0
2018-01-09;00:00:00;8;2;;53.7;50.9;53.0
2018-01-10;00:00:00;8;2;;53.7;51.2;53.0
2018-01-11;00:00:00;8;2;;53.7;51.2;53.0
2018-01-12;00:00:00;8;2;;53.7;51.0;53.0
2018-01-13;00:00:00;8;2;;53.7;51.2;53.0
2018-01-14;00:00:00;8;2;;53.7;51.4;53.0
2018-01-15;00:00:00;8;2;;53.7;51.4;53.0
2018-01-16;00:00:00;8;2;;53.7;51.4;53.0
2018-01-17;00:00:00;8;2;;53.7;51.4;53.0
2018-01-18;00:00:00;8;2;;53.7;51.4;53.0
2018-01-19;00:00:00;8;2;;53.7;51.4;53.0
2018-01-20;00:00:00;8;2;;53.7;51.4;53.0
2018-01-21;00:00:00;8;2;;53.7;51.4;53.0
2018-01-22;00:00:00;8;2;;53.7;51.4;53.0
2018-01-23;00:00:00;8;2;;53.7;51.1;53.0
2018-01-24;00:00:00;8;2;;53.7;51.1;53.0
2018-01-25;00:00:00;8;2;;53.7;50.7;53.0
2018-01-26;00:00:00;8;2;;53.7;50.9;53.0
2018-01-27;00:00:00;8;2;;53.7;50.9;53.0
2018-01-28;00:00:00;8;2;;53.7;50.9;53.0
2018-01-29;00:00:00;8;2;;53.7;51.2;53.0
2018-01-30;00:00:00;8;2;;53.7;51.2;53.0
2018-01-31;00:00:00;8;2;;53.7;51.2;53.0
2018-02-01;00:00:00;4;2;;53.7;;53.0
2018-02-02;00:00:00;4;2;;53.7;;53.0
2018-02-03;00:00:00;4;2;;53.7;;53.0
2018-02-04;00:00:00;4;2;;53.7;;53.0
2018-02-05;00:00:00;4;2;;53.7;;53.0
2018-02-06;00:00:00;4;2;;53.7;;53.0
2018-02-07;00:00:00;4;2;;53.7;;53.0
2018-02-08;00:00:00;4;2;;53.7;;53.0
2018-02-09;00:00:00;4;2;;53.7;;53.0
2018-02-10;00:00:00;4;2;;53.7;;53.0
2018-02-11;00:00:00;4;2;;53.7;;53.0
2018-02-12;00:00:00;4;2;;53.7;;53.0
2018-02-13;00:00:00;4;2;;53.7;;53.0
2018-02-14;00:00:00;4;2;;53.7;;53.0
2018-02-15;00:00:00;4;2;;53.7;;53.0
2018-02-16;00:00:00;4;2;;53.7;;53.0
2018-02-17;00:00:00;4;2;;53.7;;53.0
2018-02-18;00:00:00;4;2;;53.7;;53.0
2018-02-19;00:00:00;4;2;;53.7;;53.0
2018-02-20;00:00:00;4;2;;53.7;;53.0
2018-02-21;00:00:00;4;2;;53.7;;53.0
2018-02-22;00:00:00;4;2;;53.7;;53.0
2018-02-23;00:00:00;4;2;;53.7;;53.0
2018-02-24;00:00:00;4;2;;53.7;;53.0
2018-02-25;00:00:00;4;2;;53.7;;53.0
2018-02-26;00:00:00;4;2;;53.7;;53.0
2018-02-27;00:00:00;4;2;;53.7;;53.0
2018-02-28;00:00:00;4;2;;53.7;;53.0
2018-03-01;00:00:00;4;2;;53.7;50.7;53.0
2018-03-02;00:00:00;4;2;;53.7;50.7;53.0
2018-03-03;00:00:00;4;2;;53.7;50.7;53.0
2018-03-04;00:00:00;4;2;;53.7;50.7;53.0
2018-03-05;00:00:00;4;2;;53.7;50.8;53.0
2018-03-06;00:00:00;4;2;;53.7;50.8;53.0
2018-03-07;00:00:00;4;2;;53.6;51.7;53.0
2018-03-08;00:00:00;4;2;;61.6;59.9;53.0
2018-03-09;00:00:00;4;2;;61.6;60.1;53.0
2018-03-10;00:00:00;4;2;;60.6;59.1;53.0
2018-03-11;00:00:00;4;2;;60.6;59.1;53.0
2018-03-12;00:00:00;4;2;;60.6;59.1;53.0
2018-03-13;00:00:00;4;2;;60.5;58.4;53.0
2018-03-14;00:00:00;4;2;43994.0;60.5;58.4;53.0
2018-03-15;00:00:00;4;2;43997.0;60.5;58.4;53.0
2018-03-16;00:00:00;4;2;43964.0;60.5;58.6;53.0
2018-03-17;00:00:00;4;2;43823.0;60.5;58.8;53.0
2018-03-18;00:00:00;4;2;43980.0;60.5;58.8;53.0
2018-03-19;00:00:00;4;2;44011.0;60.5;58.3;53.0
2018-03-20;00:00:00;4;2;43995.0;60.5;58.3;53.0
2018-03-21;00:00:00;4;2;44008.0;60.5;58.3;53.0
2018-03-22;00:00:00;4;2;44017.0;60.6;58.2;53.0
2018-03-23;00:00:00;4;2;44004.0;60.5;58.9;53.0
2018-03-24;00:00:00;4;2;44008.0;60.5;58.8;53.0
2018-03-25;00:00:00;4;2;44023.0;60.6;58.8;53.0
2018-03-26;00:00:00;4;2;44017.0;60.6;58.8;53.0
2018-03-27;00:00:00;4;2;43993.0;60.6;58.8;53.0
2018-03-28;00:00:00;4;2;43900.0;60.6;58.3;53.0
2018-03-29;00:00:00;4;2;43919.0;60.6;58.3;53.0
2018-03-30;00:00:00;4;2;44022.0;60.6;58.3;53.0
2018-03-31;00:00:00;4;2;44041.0;60.6;58.3;53.0
2018-04-01;00:00:00;4;2;44037.0;60.6;59.1;
2018-04-02;00:00:00;4;2;44037.0;60.6;59.2;
2018-04-03;00:00:00;4;2;44036.0;60.6;59.1;
2018-04-04;00:00:00;4;2;44036.0;60.6;58.0;
2018-04-05;00:00:00;4;2;44032.0;60.6;58.3;
2018-04-06;00:00:00;4;2;44037.0;60.6;58.5;
2018-04-07;00:00:00;4;2;44041.0;60.7;57.5;
2018-04-08;00:00:00;4;2;44041.0;60.6;57.2;
2018-04-09;00:00:00;4;2;44037.0;60.6;57.1;
2018-04-10;00:00:00;4;2;44032.0;60.6;57.1;
2018-04-11;00:00:00;4;2;44036.0;60.6;58.1;
2018-04-12;00:00:00;4;2;44036.0;60.6;58.2;
2018-04-13;00:00:00;4;2;44031.0;60.6;57.6;
2018-04-14;00:00:00;4;2;44041.0;60.6;59.1;
2018-04-15;00:00:00;4;2;44032.0;60.5;59.2;
2018-04-16;00:00:00;4;2;44037.0;60.5;59.1;
2018-04-17;00:00:00;4;2;44035.0;60.5;59.1;
2018-04-18;00:00:00;4;2;44032.0;60.5;58.3;
2018-04-19;00:00:00;4;2;44032.0;60.5;58.3;
2018-04-20;00:00:00;4;2;44036.0;60.5;58.1;
2018-04-21;00:00:00;4;2;44032.0;60.5;58.1;
2018-04-22;00:00:00;4;2;44041.0;60.6;58.6;
2018-04-23;00:00:00;4;2;44032.0;60.6;58.1;
2018-04-24;00:00:00;4;2;24706.0;60.6;58.6;
2018-04-25;00:00:00;4;2;55.0;60.6;58.6;
2018-04-27;00:00:00;4;2;55.0;60.6;58.6;
2018-04-28;00:00:00;4;2;55.0;60.6;58.6;
2018-04-29;00:00:00;4;2;55.0;60.7;58.3;
2018-04-30;00:00:00;4;2;56.0;60.7;58.3;
2018-05-01;00:00:00;4;2;55.0;61.6;59.2;
2018-05-02;00:00:00;4;2;55.0;61.6;59.2;
2018-05-03;00:00:00;4;2;55.0;61.6;59.2;
2018-05-04;00:00:00;4;2;54.0;61.6;59.2;
2018-05-05;00:00:00;4;2;55.0;61.6;59.4;
2018-05-06;00:00:00;4;2;54.0;61.6;59.1;
2018-05-07;00:00:00;4;2;53.0;61.6;59.3;
2018-05-08;00:00:00;4;2;54.0;61.6;58.9;
2018-05-09;00:00:00;4;2;54.0;61.6;59.3;
2018-05-10;00:00:00;4;2;55.0;61.5;59.1;
2018-05-11;00:00:00;4;2;55.0;61.6;59.1;
2018-05-12;00:00:00;4;2;53.0;61.5;59.2;
2018-05-13;00:00:00;4;2;52.0;61.6;59.3;
2018-05-14;00:00:00;4;2;55.0;61.6;59.3;
2018-05-15;00:00:00;4;2;55.0;61.6;59.2;
2018-05-16;00:00:00;4;2;51.0;61.6;59.2;
2018-05-17;00:00:00;4;2;55.0;61.6;59.2;
2018-05-18;00:00:00;4;2;55.0;61.6;59.2;
2018-05-19;00:00:00;4;2;54.0;61.6;58.8;
2018-05-20;00:00:00;4;2;55.0;61.6;58.8;
2018-05-21;00:00:00;4;2;52.0;61.6;58.9;
2018-05-22;00:00:00;4;2;55.0;61.8;59.8;
2018-05-23;00:00:00;4;2;54.0;63.8;54.5;
2018-05-24;00:00:00;4;2;55.0;63.5;53.1;
2018-05-25;00:00:00;4;2;50.0;63.5;53.1;
2018-05-26;00:00:00;4;2;55.0;63.5;53.1;
2018-05-27;00:00:00;4;2;54.0;63.5;53.4;
2018-05-28;00:00:00;4;2;52.0;61.6;58.6;
2018-05-29;00:00:00;4;2;55.0;61.6;58.6;
2018-05-30;00:00:00;4;2;54.0;61.6;58.6;
2018-05-31;00:00:00;4;2;52.0;61.6;58.6;
2018-06-01;00:00:00;4;2;54.0;61.6;58.7;
2018-06-02;00:00:00;4;2;54.0;61.6;58.8;
2018-06-03;00:00:00;4;2;55.0;61.6;58.9;
2018-06-04;00:00:00;4;2;54.0;61.6;58.8;
2018-06-05;00:00:00;4;2;53.0;61.5;59.0;
2018-06-06;00:00:00;4;2;55.0;61.5;59.0;
2018-06-07;00:00:00;4;2;55.0;61.6;59.0;
2018-06-08;00:00:00;4;2;57.0;61.6;59.2;
2018-06-09;00:00:00;4;2;56.0;61.6;58.8;
2018-06-10;00:00:00;4;2;54.0;61.6;59.1;
2018-06-11;00:00:00;4;2;;61.6;58.6;
2018-06-12;00:00:00;4;2;55.0;61.6;58.6;
2018-06-13;00:00:00;4;2;55.0;61.6;58.6;
2018-06-14;00:00:00;4;2;52.0;61.6;58.6;
2018-06-15;00:00:00;4;2;43.0;61.6;58.3;
2018-06-16;00:00:00;4;2;55.0;61.6;58.1;
2018-06-17;00:00:00;4;2;54.0;61.6;58.0;
2018-06-18;00:00:00;4;2;50.0;61.6;58.6;
2018-06-19;00:00:00;4;2;34.0;61.5;58.9;
2018-06-20;00:00:00;4;2;45.0;61.5;58.8;
2018-06-21;00:00:00;4;2;54.0;61.5;58.9;
2018-06-22;00:00:00;4;2;53.0;61.5;58.9;
2018-06-23;00:00:00;4;2;54.0;61.5;59.0;
2018-06-24;00:00:00;4;2;54.0;61.5;59.0;
2018-06-25;00:00:00;4;2;54.0;61.5;58.5;
2018-06-26;00:00:00;4;2;52.0;61.6;58.4;
2018-06-27;00:00:00;4;2;45.0;61.6;58.4;
2018-06-28;00:00:00;4;2;0.0;61.6;58.4;
2018-06-29;00:00:00;4;2;;61.6;58.5;
2018-06-30;00:00:00;4;2;0.0;61.6;58.4;
2018-07-08;00:00:00;4;2;;;58.8;59.0
2018-07-09;00:00:00;4;2;0.0;60.7;56.5;59.0
2018-07-10;00:00:00;4;2;;60.7;56.5;59.0
2018-07-11;00:00:00;4;2;0.0;57.8;54.0;59.0
2018-07-12;00:00:00;4;2;0.0;57.8;54.0;59.0
2018-07-13;00:00:00;4;2;;122.1;138.3;59.0
2018-07-14;00:00:00;4;2;;59.7;55.8;59.0
2018-07-15;00:00:00;4;2;0.0;54.8;51.1;59.0
2018-07-16;00:00:00;4;2;;54.8;51.3;59.0
2018-07-17;00:00:00;4;2;;53.9;48.8;59.0
2018-07-18;00:00:00;4;2;;53.9;48.8;59.0
2018-07-19;00:00:00;4;2;0.0;53.9;49.0;59.0
2018-07-20;00:00:00;4;2;0.0;53.9;48.4;59.0
2018-07-21;00:00:00;4;2;;53.9;49.3;59.0
2018-07-22;00:00:00;4;2;;53.9;49.6;59.0
2018-07-23;00:00:00;4;2;0.0;53.9;49.3;59.0
2018-07-24;00:00:00;4;2;0.0;53.9;49.2;59.0
2018-07-25;00:00:00;4;2;;53.9;49.3;59.0
2018-07-26;00:00:00;4;3;;53.9;49.3;59.0
2018-07-27;00:00:00;4;3;;53.8;49.1;59.0
2018-07-28;00:00:00;4;3;0.0;54.8;49.7;59.0
2018-07-29;00:00:00;4;3;0.0;54.8;49.7;59.0
2018-07-30;00:00:00;4;3;;54.8;49.7;59.0
2018-07-31;00:00:00;4;3;40.0;54.8;49.7;59.0
