Дата замера;Время;Способ эксплуатации;Режим;Рпр(ТМ);Рзаб(Рпр);Рзаб(Нд);Рзаб(иссл)
2018-01-01;00:00:00;8;1;;;;56.6
2018-01-02;00:00:00;8;1;;;;56.6
2018-01-03;00:00:00;8;1;;;;56.6
2018-01-04;00:00:00;8;1;;;;56.6
2018-01-05;00:00:00;8;1;;;;56.6
2018-01-06;00:00:00;8;1;;;;56.6
2018-01-07;00:00:00;8;1;;;;56.6
2018-01-08;00:00:00;8;1;;;;57.1
2018-01-09;00:00:00;8;1;;;;57.1
2018-01-10;00:00:00;8;1;;;;57.1
2018-01-11;00:00:00;8;1;;;;57.1
2018-01-12;00:00:00;8;1;;;;57.1
2018-01-13;00:00:00;8;1;;;;57.1
2018-01-14;00:00:00;8;1;;;;57.1
2018-01-15;00:00:00;8;1;;;;57.1
2018-01-16;00:00:00;8;1;;;;57.1
2018-01-17;00:00:00;8;1;;;;57.1
2018-01-18;00:00:00;8;1;;;;57.1
2018-01-19;00:00:00;8;1;;;;57.1
2018-01-20;00:00:00;8;1;;;;57.1
2018-01-21;00:00:00;8;1;;;;57.1
2018-01-22;00:00:00;8;1;;;;57.1
2018-01-23;00:00:00;8;1;;;;57.1
2018-01-24;00:00:00;8;1;;;;57.1
2018-01-25;00:00:00;8;1;;;;57.1
2018-02-01;00:00:00;2;1;;;;57.1
2018-02-02;00:00:00;2;1;;;;57.1
2018-02-03;00:00:00;2;1;;;;57.1
2018-02-04;00:00:00;2;1;;;;57.1
2018-02-05;00:00:00;2;1;;;;57.1
2018-02-06;00:00:00;2;1;;;;57.1
2018-02-07;00:00:00;2;1;;;;57.1
2018-02-08;00:00:00;2;1;;;;57.1
2018-02-09;00:00:00;2;1;;;;57.1
2018-02-10;00:00:00;2;1;;;;57.1
2018-02-11;00:00:00;2;1;;;;57.1
2018-02-12;00:00:00;2;1;;;;57.1
2018-02-13;00:00:00;2;1;;;;57.1
2018-02-14;00:00:00;2;1;;;;57.1
2018-02-15;00:00:00;2;1;;;;57.1
2018-02-16;00:00:00;2;1;;;;57.1
2018-02-17;00:00:00;2;1;;;;57.1
2018-02-18;00:00:00;2;1;;;;57.1
2018-02-19;00:00:00;2;1;;;;57.1
2018-02-20;00:00:00;2;1;;;;57.1
2018-02-21;00:00:00;2;1;;;;57.1
2018-02-22;00:00:00;2;1;;;;57.1
2018-02-23;00:00:00;2;1;;;;57.1
2018-02-24;00:00:00;2;1;;;;57.1
2018-02-25;00:00:00;2;1;;;;57.1
2018-02-26;00:00:00;2;1;;;;57.1
2018-02-27;00:00:00;2;1;;;;57.1
2018-02-28;00:00:00;2;1;;;;57.1
2018-05-20;00:00:00;1;1;;;;
2018-05-21;00:00:00;1;1;;;;
2018-05-22;00:00:00;1;1;;;;
2018-05-23;00:00:00;1;1;;;;
2018-05-24;00:00:00;1;1;;;;
2018-05-25;00:00:00;1;1;;;;
2018-05-26;00:00:00;1;1;;;;
2018-05-27;00:00:00;1;1;;;;
2018-05-28;00:00:00;1;1;;;;
2018-05-29;00:00:00;1;1;;;;
2018-05-30;00:00:00;1;1;;;;
2018-05-31;00:00:00;1;1;;;;
