Дата замера;Время;Способ эксплуатации;Режим;Рпр(ТМ);Рзаб(Рпр);Рзаб(Нд);Рзаб(иссл)
2018-01-01;00:00:00;8;1;215.0;261.7;158.2;278.0
2018-01-02;00:00:00;8;1;215.0;261.7;157.8;278.0
2018-01-03;00:00:00;8;1;215.0;261.7;157.8;278.0
2018-01-04;00:00:00;8;1;215.3;261.7;157.8;278.0
2018-01-05;00:00:00;8;1;215.9;261.7;157.8;278.0
2018-01-06;00:00:00;8;1;216.0;261.7;157.8;278.0
2018-01-07;00:00:00;8;1;216.0;261.7;157.8;278.0
2018-01-08;00:00:00;8;1;216.0;262.7;162.0;278.0
2018-01-09;00:00:00;8;1;216.0;262.7;162.0;278.0
2018-01-10;00:00:00;8;1;216.0;262.7;155.4;278.0
2018-01-11;00:00:00;8;1;216.0;262.7;155.4;278.0
2018-01-12;00:00:00;8;1;216.0;262.7;155.4;278.0
2018-01-13;00:00:00;8;1;216.0;262.7;155.4;278.0
2018-01-14;00:00:00;8;1;216.0;262.7;155.4;278.0
2018-01-15;00:00:00;8;1;215.8;262.7;155.4;278.0
2018-01-16;00:00:00;8;1;215.0;262.7;155.4;278.0
2018-01-17;00:00:00;8;1;215.2;262.7;157.0;278.0
2018-01-18;00:00:00;8;1;224.0;261.7;156.5;278.0
2018-01-19;00:00:00;8;1;219.5;261.7;156.5;278.0
2018-01-20;00:00:00;8;1;215.5;261.7;156.5;278.0
2018-01-21;00:00:00;8;1;238.8;261.7;156.5;278.0
2018-01-22;00:00:00;8;1;246.8;261.7;156.5;278.0
2018-01-25;00:00:00;8;1;220.1;266.7;156.5;278.0
2018-01-26;00:00:00;8;1;222.6;264.7;158.7;278.0
2018-01-27;00:00:00;8;1;218.2;264.7;158.7;278.0
2018-01-28;00:00:00;8;1;217.3;265.2;161.8;278.0
2018-01-29;00:00:00;8;1;217.0;265.2;161.8;278.0
2018-01-30;00:00:00;8;1;217.0;265.2;161.8;278.0
2018-01-31;00:00:00;8;1;217.0;265.2;161.8;278.0
2018-02-01;00:00:00;4;1;216.0;265.2;;278.0
2018-02-02;00:00:00;4;1;216.0;263.2;;278.0
2018-02-03;00:00:00;4;1;216.0;263.2;;278.0
2018-02-04;00:00:00;4;1;216.0;263.2;;278.0
2018-02-05;00:00:00;4;1;216.0;263.2;;278.0
2018-02-06;00:00:00;4;1;216.0;263.2;;278.0
2018-02-07;00:00:00;4;1;216.0;263.2;;278.0
2018-02-08;00:00:00;4;1;216.0;263.2;;278.0
2018-02-09;00:00:00;4;1;216.0;263.2;;278.0
2018-02-10;00:00:00;4;1;216.0;263.2;;278.0
2018-02-11;00:00:00;4;1;216.0;263.2;;278.0
2018-02-12;00:00:00;4;1;216.0;263.2;;278.0
2018-02-13;00:00:00;4;1;216.0;263.2;;278.0
2018-02-14;00:00:00;4;1;216.0;263.2;;278.0
2018-02-15;00:00:00;4;1;217.0;263.2;;278.0
2018-02-16;00:00:00;4;1;217.0;263.2;;278.0
2018-02-17;00:00:00;4;1;217.0;264.2;;278.0
2018-02-18;00:00:00;4;1;217.0;264.2;;278.0
2018-02-19;00:00:00;4;1;217.0;264.2;;278.0
2018-02-20;00:00:00;4;1;217.0;264.2;;278.0
