Дата замера;Время;Способ эксплуатации;Режим;Рпр(ТМ);Рзаб(Рпр);Рзаб(Нд);Рзаб(иссл)
2018-01-01;00:00:00;8;1;;81.7;61.6;270.0
2018-01-02;00:00:00;8;1;;81.7;61.3;270.0
2018-01-03;00:00:00;8;1;;80.7;60.5;270.0
2018-01-04;00:00:00;8;1;;80.7;60.5;270.0
2018-01-05;00:00:00;8;1;;80.7;60.5;270.0
2018-01-06;00:00:00;8;1;;80.7;60.5;270.0
2018-01-07;00:00:00;8;1;;80.7;60.1;270.0
2018-01-08;00:00:00;8;1;;80.7;60.1;270.0
2018-01-09;00:00:00;8;1;;80.7;60.1;270.0
2018-01-10;00:00:00;8;1;;80.7;60.1;270.0
2018-01-11;00:00:00;8;1;;80.7;60.0;270.0
2018-01-12;00:00:00;8;1;;80.7;60.2;270.0
2018-01-13;00:00:00;8;1;;80.7;59.8;270.0
2018-01-14;00:00:00;8;1;;80.7;59.8;270.0
2018-01-15;00:00:00;8;1;;80.7;59.9;270.0
2018-01-16;00:00:00;8;1;;80.7;59.9;270.0
2018-01-17;00:00:00;8;1;;79.7;59.7;270.0
2018-01-18;00:00:00;8;1;;79.7;59.3;270.0
2018-01-19;00:00:00;8;1;;79.7;59.3;270.0
2018-01-20;00:00:00;8;1;;79.7;59.3;270.0
2018-01-21;00:00:00;8;1;;78.7;59.0;270.0
2018-01-22;00:00:00;8;1;;78.7;59.0;270.0
2018-01-23;00:00:00;8;1;;77.7;58.2;270.0
2018-01-24;00:00:00;8;1;;77.7;58.2;270.0
2018-01-25;00:00:00;8;1;;77.7;58.2;270.0
2018-01-26;00:00:00;8;1;;77.7;58.1;270.0
2018-01-27;00:00:00;8;1;;77.7;58.5;270.0
2018-01-28;00:00:00;8;1;;77.7;58.5;270.0
2018-01-29;00:00:00;8;1;;77.7;58.5;270.0
2018-01-30;00:00:00;8;1;;77.7;58.5;270.0
2018-01-31;00:00:00;8;1;;77.7;58.5;270.0
2018-02-01;00:00:00;4;1;;77.7;;270.0
2018-02-02;00:00:00;4;1;;77.8;;270.0
2018-02-03;00:00:00;4;1;;77.8;;270.0
2018-02-04;00:00:00;4;1;;76.8;;270.0
2018-02-05;00:00:00;4;1;;76.8;;270.0
2018-02-06;00:00:00;4;1;;76.8;;270.0
2018-02-07;00:00:00;4;1;;75.8;;270.0
2018-02-08;00:00:00;4;1;;75.8;;270.0
2018-02-09;00:00:00;4;1;;75.8;;270.0
2018-02-10;00:00:00;4;1;;75.8;;270.0
2018-02-11;00:00:00;4;1;;74.8;;270.0
2018-02-12;00:00:00;4;1;;74.8;;270.0
2018-02-13;00:00:00;4;1;;74.8;;270.0
2018-02-14;00:00:00;4;1;;74.8;;270.0
2018-02-15;00:00:00;4;1;;74.8;;270.0
2018-02-16;00:00:00;4;1;;74.8;;270.0
2018-02-17;00:00:00;4;1;;74.8;;270.0
2018-02-18;00:00:00;4;1;;73.8;;270.0
2018-02-19;00:00:00;4;1;;73.8;;270.0
2018-02-20;00:00:00;4;1;;73.8;;270.0
2018-02-21;00:00:00;4;1;;73.8;;270.0
2018-02-22;00:00:00;4;1;;73.8;;270.0
2018-02-23;00:00:00;4;1;;73.8;;125.0
2018-02-24;00:00:00;4;1;;73.8;;125.0
2018-02-25;00:00:00;4;1;;73.8;;125.0
2018-02-26;00:00:00;4;1;;;;125.0
2018-02-27;00:00:00;4;1;;;;125.0
2018-02-28;00:00:00;4;1;;48.1;;125.0
2018-03-19;00:00:00;4;2;;;38.6;47.0
2018-03-20;00:00:00;4;2;;;38.6;47.0
2018-03-21;00:00:00;4;2;;;38.6;47.0
2018-03-22;00:00:00;4;2;;;39.2;47.0
2018-03-23;00:00:00;4;2;;48.2;42.2;47.0
2018-03-24;00:00:00;4;2;;48.2;42.2;47.0
2018-03-25;00:00:00;4;2;;48.2;42.2;47.0
2018-03-26;00:00:00;4;2;;48.2;42.2;47.0
2018-03-27;00:00:00;4;2;;48.2;41.8;47.0
2018-03-28;00:00:00;4;2;;48.2;41.5;47.0
2018-03-29;00:00:00;4;2;;48.2;41.5;47.0
2018-03-30;00:00:00;4;2;;48.2;41.5;47.0
2018-03-31;00:00:00;4;2;;48.2;41.5;47.0
2018-04-01;00:00:00;4;2;;48.2;41.5;47.0
2018-04-02;00:00:00;4;3;;48.2;41.8;47.0
2018-04-03;00:00:00;4;3;;48.2;41.8;32.0
2018-04-04;00:00:00;4;3;;48.2;41.8;32.0
2018-04-05;00:00:00;4;3;;48.2;41.8;32.0
2018-04-06;00:00:00;4;3;;48.2;41.5;32.0
2018-04-07;00:00:00;4;3;;48.2;41.5;32.0
2018-04-08;00:00:00;4;3;;48.2;41.5;32.0
2018-04-09;00:00:00;4;3;;;41.5;32.0
2018-04-10;00:00:00;4;3;;;41.7;32.0
2018-04-11;00:00:00;4;3;;;42.8;32.0
2018-04-12;00:00:00;4;3;;;42.8;32.0
2018-04-15;00:00:00;5;3;;;;
2018-04-16;00:00:00;5;3;;;;
2018-04-17;00:00:00;5;3;;;;
2018-04-18;00:00:00;5;3;;;;
2018-04-19;00:00:00;5;3;;;;
2018-04-20;00:00:00;5;3;;;;
2018-04-21;00:00:00;5;3;;;;
2018-04-22;00:00:00;5;3;;;;
2018-04-23;00:00:00;5;3;;;;
2018-04-24;00:00:00;5;3;;;;
2018-04-25;00:00:00;5;3;;;;
2018-04-26;00:00:00;5;3;;;;
2018-04-27;00:00:00;5;3;;;;
2018-04-28;00:00:00;5;3;;;;
2018-04-29;00:00:00;5;3;;;;
2018-04-30;00:00:00;5;3;;;;
