Дата замера;Время;Способ эксплуатации;Режим;Рпр(ТМ);Рзаб(Рпр);Рзаб(Нд);Рзаб(иссл)
2018-01-01;00:00:00;2;1;0.0;86.5;71.8;58.0
2018-01-02;00:00:00;2;1;0.0;79.5;68.0;58.0
2018-01-03;00:00:00;2;1;0.0;77.5;66.9;58.0
2018-01-04;00:00:00;2;1;0.0;77.5;66.9;58.0
2018-01-05;00:00:00;2;1;0.0;77.5;66.9;58.0
2018-01-06;00:00:00;2;1;0.0;77.5;66.9;58.0
2018-01-07;00:00:00;2;1;0.0;78.5;63.9;58.0
2018-01-08;00:00:00;2;1;0.0;77.6;61.5;58.0
2018-01-09;00:00:00;2;1;0.0;77.6;61.5;58.0
2018-01-10;00:00:00;1;1;0.0;65.7;57.5;58.0
2018-01-11;00:00:00;1;1;0.0;65.7;57.5;58.0
2018-01-12;00:00:00;1;1;0.0;59.8;53.7;58.0
2018-01-13;00:00:00;1;1;0.0;57.8;51.3;58.0
2018-01-14;00:00:00;1;1;0.0;63.7;52.3;58.0
2018-01-15;00:00:00;1;1;0.0;71.7;52.3;58.0
2018-01-16;00:00:00;1;1;0.0;71.7;52.3;58.0
2018-01-17;00:00:00;1;1;0.0;57.8;51.2;58.0
2018-01-18;00:00:00;1;2;0.0;57.8;51.6;58.0
2018-01-19;00:00:00;1;2;0.0;57.8;51.6;58.0
2018-01-20;00:00:00;1;2;0.0;57.8;51.6;58.0
2018-01-21;00:00:00;1;2;0.0;57.8;51.7;58.0
2018-01-22;00:00:00;1;2;0.0;57.8;51.7;58.0
2018-01-23;00:00:00;1;2;0.0;57.8;42.9;58.0
2018-01-24;00:00:00;1;2;0.0;57.8;42.9;58.0
2018-01-25;00:00:00;1;2;0.0;57.8;42.9;58.0
2018-01-26;00:00:00;1;2;0.0;57.8;51.2;58.0
2018-01-27;00:00:00;1;2;0.0;57.8;51.7;58.0
2018-01-28;00:00:00;1;2;0.0;57.8;51.7;58.0
2018-01-29;00:00:00;1;2;0.0;57.8;51.7;58.0
2018-01-30;00:00:00;1;2;0.0;57.8;51.7;58.0
2018-01-31;00:00:00;1;2;0.0;57.8;51.7;58.0
2018-02-01;00:00:00;2;2;0.0;57.8;53.2;58.0
2018-02-02;00:00:00;2;2;0.0;58.2;53.2;58.0
2018-02-03;00:00:00;2;2;0.0;58.2;53.2;58.0
2018-02-04;00:00:00;2;2;0.0;58.2;53.2;58.0
2018-02-05;00:00:00;2;2;0.0;58.2;53.2;58.0
2018-02-06;00:00:00;2;2;0.0;58.2;53.2;58.0
2018-02-07;00:00:00;2;2;0.0;58.2;53.2;58.0
2018-02-08;00:00:00;2;2;0.0;58.2;53.2;58.0
2018-02-09;00:00:00;2;2;0.0;58.2;53.2;58.0
2018-02-10;00:00:00;2;2;0.0;58.2;53.2;58.0
2018-02-11;00:00:00;2;2;0.0;58.2;53.2;58.0
2018-02-12;00:00:00;2;2;0.0;58.2;53.2;58.0
2018-02-13;00:00:00;2;2;0.0;58.2;53.2;58.0
2018-02-14;00:00:00;2;2;0.0;58.2;53.2;58.0
2018-02-15;00:00:00;2;2;0.0;58.0;53.2;58.0
2018-02-16;00:00:00;2;2;0.0;58.0;53.2;58.0
2018-02-17;00:00:00;2;2;0.0;58.0;53.2;58.0
2018-02-18;00:00:00;2;2;0.0;58.0;53.2;58.0
2018-02-19;00:00:00;2;2;0.0;58.0;53.2;58.0
2018-02-20;00:00:00;2;2;0.0;58.0;53.2;58.0
2018-02-21;00:00:00;2;2;0.0;58.0;53.2;58.0
2018-02-22;00:00:00;2;2;0.0;58.3;53.2;58.0
2018-02-23;00:00:00;2;2;0.0;58.3;53.2;58.0
2018-02-24;00:00:00;2;2;0.0;58.3;53.2;58.0
2018-02-25;00:00:00;2;2;0.0;58.3;53.2;58.0
2018-02-26;00:00:00;2;2;0.0;58.0;53.2;58.0
2018-02-27;00:00:00;2;2;0.0;58.0;53.2;58.0
2018-02-28;00:00:00;2;2;0.0;58.0;53.2;58.0
2018-03-01;00:00:00;2;2;0.0;58.0;53.2;58.0
2018-03-02;00:00:00;2;2;0.0;58.0;53.2;58.0
2018-03-03;00:00:00;2;2;0.0;58.0;53.2;58.0
2018-03-04;00:00:00;2;2;0.0;58.1;53.3;58.0
2018-03-05;00:00:00;2;2;0.0;58.1;53.3;58.0
2018-03-06;00:00:00;2;2;0.0;58.1;53.3;58.0
2018-03-07;00:00:00;2;2;0.0;58.1;53.3;58.0
2018-03-08;00:00:00;2;2;0.0;58.1;53.3;58.0
2018-03-09;00:00:00;2;2;0.0;58.1;56.9;58.0
2018-03-10;00:00:00;2;2;0.0;58.0;53.1;58.0
2018-03-11;00:00:00;2;2;0.0;58.0;53.1;58.0
2018-03-12;00:00:00;2;2;0.0;58.0;53.1;58.0
2018-03-13;00:00:00;2;2;0.0;58.0;53.1;58.0
2018-03-14;00:00:00;2;2;0.0;58.0;53.1;58.0
2018-03-15;00:00:00;2;2;0.0;58.0;53.1;58.0
2018-03-16;00:00:00;2;2;0.0;58.0;53.1;58.0
2018-03-17;00:00:00;2;2;0.0;58.0;53.1;58.0
2018-03-18;00:00:00;2;2;0.0;58.3;54.1;58.0
2018-03-19;00:00:00;2;2;0.0;58.3;54.1;58.0
2018-03-20;00:00:00;2;2;0.0;58.3;54.0;58.0
2018-03-21;00:00:00;2;2;0.0;58.3;54.0;58.0
2018-03-22;00:00:00;2;2;0.0;58.3;54.0;58.0
2018-03-23;00:00:00;2;2;0.0;58.3;54.6;58.0
2018-03-24;00:00:00;2;2;0.0;58.3;54.0;58.0
2018-03-25;00:00:00;2;2;0.0;58.3;54.0;58.0
2018-03-26;00:00:00;2;2;0.0;58.1;53.5;58.0
