data;time;pressure1;pressure2;pressure3;pressure4;pressure5
01.01.2019;00:00:00;0.302;0.579;0.772;11.915;10.989
01.01.2019;00:30:00;0.333;0.582;0.773;11.138;9.905
01.01.2019;01:00:00;0.549;0.582;0.779;10.629;9.577
01.01.2019;01:30:00;0.301;0.581;0.78;9.5;10.034
01.01.2019;02:00:00;0.522;0.577;0.781;10.055;8.072
01.01.2019;02:30:00;0.286;0.578;0.784;9.199;8.105
01.01.2019;03:00:00;0.252;0.579;0.784;7.692;7.19
01.01.2019;03:30:00;0.238;0.585;0.784;7.028;6.456
01.01.2019;04:00:00;0.158;0.585;0.79;6.197;5.952
01.01.2019;04:30:00;0.274;0.589;0.791;5.992;5.082
01.01.2019;05:00:00;0.226;0.592;0.794;5.846;5.485
01.01.2019;05:30:00;0.247;0.589;0.789;5.481;4.758
01.01.2019;06:00:00;0.196;0.59;0.787;5.467;4.656
01.01.2019;06:30:00;0.168;0.586;0.785;4.943;4.446
01.01.2019;07:00:00;0.181;0.587;0.782;5.602;4.248
01.01.2019;07:30:00;0.251;0.592;0.785;5.036;4.06
01.01.2019;08:00:00;0.2;0.584;0.781;5.758;4.4
01.01.2019;08:30:00;0.282;0.59;0.789;5.831;4.858
01.01.2019;09:00:00;0.259;0.591;0.786;5.439;5.225
01.01.2019;09:30:00;0.18;0.59;0.784;6.007;6.312
01.01.2019;10:00:00;0.217;0.595;0.785;6.333;7.283
01.01.2019;10:30:00;0.406;0.596;0.783;6.287;6.295
01.01.2019;11:00:00;0.427;0.589;0.782;7.919;5.983
01.01.2019;11:30:00;0.329;0.589;0.778;8.568;6.505
01.01.2019;12:00:00;0.331;0.299;0.78;8.142;7.393
01.01.2019;12:30:00;0.336;0.291;0.789;8.528;8.538
01.01.2019;13:00:00;0.276;0.228;0.781;9.996;8.028
01.01.2019;13:30:00;0.386;0.229;0.78;9.774;8.863
01.01.2019;14:00:00;0.367;0.229;0.782;10.062;8.461
01.01.2019;14:30:00;0.585;0.233;0.784;10.147;9.592
01.01.2019;15:00:00;0.487;0.227;0.812;10.287;9.358
01.01.2019;15:30:00;0.428;0.233;0.785;10.239;10.106
01.01.2019;16:00:00;0.47;0.228;0.78;10.28;8.978
01.01.2019;16:30:00;0.278;0.22;0.767;9.561;11.709
01.01.2019;17:00:00;0.36;0.373;0.762;11.003;12.279
01.01.2019;17:30:00;0.445;0.437;0.763;11.505;12.721
01.01.2019;18:00:00;0.419;0.553;0.787;12.241;12.438
01.01.2019;18:30:00;0.462;0.568;0.791;13.525;11.315
01.01.2019;19:00:00;0.531;0.576;0.798;12.267;11.991
01.01.2019;19:30:00;0.378;0.579;0.821;12.355;11.289
01.01.2019;20:00:00;0.316;0.622;0.851;12.527;11.443
01.01.2019;20:30:00;0.391;0.594;0.856;12.682;11.275
01.01.2019;21:00:00;0.218;0.582;0.86;12.804;10.719
01.01.2019;21:30:00;0.238;0.588;0.857;12.475;11.177
01.01.2019;22:00:00;0.215;0.588;0.858;12.905;10.65
