url;id;name;year;duration;imdb-popularity;budget;box-office
https://www.imdb.com/title/tt1877830/;1877830;Бэтмен;2022;175;1;185.0;248.5
https://www.imdb.com/title/tt10872600/;10872600;Человек-паук: Нет пути домой;2021;148;7;200.0;1866.5
https://www.imdb.com/title/tt1160419/;1160419;Дюна;2021;155;30;165.0;400.5
https://www.imdb.com/title/tt2802144/;2802144;Kingsman: Секретная служба;2014;129;54;81.0;414.4
https://www.imdb.com/title/tt10366460/;0;CODA: Ребенок глухих родителей;2021;111;21;0.0;1.1
https://www.imdb.com/title/tt0068646/;0068646;Крёстный отец;1972;175;41;6.0;249.8
https://www.imdb.com/title/tt0468569/;0468569;Темный рыцарь;2008;152;24;185.0;1006.1
https://www.imdb.com/title/tt0111161/;0111161;Побег из Шоушенка;1994;142;71;25.0;28.9
https://www.imdb.com/title/tt4154796/;4154796;Мстители: Финал;2019;181;73;356.0;2797.5
https://www.imdb.com/title/tt7131622/;7131622;Однажды в... Голливуде;2019;161;108;90.0;374.6
https://www.imdb.com/title/tt0087332/;0087332;Охотники за привидениями;1984;105;124;30.0;296.6
https://www.imdb.com/title/tt1727824/;1727824;Богемская рапсодия;2018;134;370;52.0;910.8
https://www.imdb.com/title/tt8946378/;8946378;Достать ножи;2019;130;42;40.0;311.6
https://www.imdb.com/title/tt1392190/;1392190;Безумный Макс: Дорога ярости;2015;120;131;150.0;375.7
https://www.imdb.com/title/tt0816692/;0816692;Интерстеллар;2014;169;94;165.0;701.7
https://www.imdb.com/title/tt0241527/;0241527;Гарри Поттер и философский камень;2001;152;102;125.0;1017.7
https://www.imdb.com/title/tt0120737/;0120737;Властелин колец: Братство кольца;2001;178;119;93.0;898.1
https://www.imdb.com/title/tt8367814/;8367814;Джентльмены;2019;113;161;22.0;115.2
https://www.imdb.com/title/tt0993846/;0993846;Волк с Уолл-стрит;2013;180;118;100.0;392.0
https://www.imdb.com/title/tt0120338/;0120338;Титаник;1997;194;147;200.0;2201.6
https://www.imdb.com/title/tt7286456/;7286456;Джокер;2019;122;76;55.0;1074.4
https://www.imdb.com/title/tt0137523/;0137523;Бойцовский клуб;1999;139;133;63.0;101.2
https://www.imdb.com/title/tt0110912/;0110912;Криминальное чтиво;1994;154;130;8.0;213.9
https://www.imdb.com/title/tt0107290/;0107290;Парк юрского периода;1993;127;176;63.0;1099.4
