X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;D1
130;168;0;0;0;1;0;8;1;1;1;0;900
250;142;0;4;0;4;1;8;1;1;1;4;280
100;111;0;4;0;2;1;7;1;1;0;4;16
70;102;0;5;0;2;0;7;1;1;1;1;340
53;128;0;5;0;3;0;7;1;1;1;0;120
45;102;0;5;0;1;0;6;1;1;1;3;73
230;88;0;4;0;4;0;7;0;1;1;2;1000
450;187;0;3;0;1;0;8;1;1;1;0;990
290;123;0;4;0;3;0;6;1;1;0;0;1100
250;130;0;4;0;4;0;8;0;1;0;0;560
250;145;0;4;0;3;0;7;1;1;1;5;470
190;146;0;5;0;3;0;8;1;1;1;5;470
110;117;0;5;1;3;0;7;1;1;1;2;1000
13;114;0;5;0;3;0;7;1;1;1;5;280
160;98;0;1;0;3;0;7;1;1;1;2;300
33;106;0;4;0;4;0;7;1;1;1;3;490
42;132;0;5;0;1;0;6;1;1;0;1;410
140;108;0;0;0;4;0;7;1;1;1;2;900
300;121;0;4;1;3;0;7;1;1;1;2;840
300;229;0;4;0;2;0;7;1;1;1;2;54
250;170;0;5;0;1;0;6;1;1;1;7;650
10;97;0;4;1;2;1;7;1;1;1;0;510
200;105;0;3;0;2;1;7;1;1;0;3;860
150;117;0;5;0;3;0;7;1;1;1;18;460
110;107;0;5;1;2;1;7;1;1;1;0;440
60;113;0;5;0;4;1;6;1;1;1;0;69
150;155;0;5;0;1;0;7;1;1;1;3;430
200;108;0;4;1;3;1;7;1;1;1;5;740
100;89;0;0;0;2;0;8;1;1;1;0;100
36;84;0;4;0;2;1;6;1;1;1;0;59
110;118;0;4;1;1;0;7;1;1;1;3;100
150;100;0;5;0;3;0;7;1;1;0;0;770
250;158;0;4;0;1;0;7;1;1;0;5;760
230;126;0;4;0;4;0;7;1;1;1;4;480
130;118;0;0;0;4;0;7;1;1;1;1;350
22;136;0;5;0;4;1;8;1;0;0;2;260
30;120;0;5;0;3;0;7;1;1;1;0;150
300;116;0;5;0;3;0;8;1;1;0;2;460
75;104;0;4;0;3;0;7;1;1;1;2;830
60;106;0;4;0;4;0;7;1;1;1;3;230
12;161;0;3;0;4;1;7;1;0;1;4;250
30;133;0;4;0;3;0;7;1;1;1;9;1000
120;149;0;3;0;4;0;8;1;1;1;2;650
100;121;0;4;0;2;1;7;1;1;1;0;800
60;120;0;5;0;1;0;6;1;1;1;2;86
120;123;0;0;0;3;0;7;1;1;1;0;870
500;122;0;5;0;3;0;7;1;1;1;3;720
85;117;0;5;0;3;0;7;1;1;1;0;470
38;115;0;0;0;4;1;6;1;0;1;0;150
35;88;0;3;1;2;1;6;1;1;1;0;830
200;119;0;4;0;1;0;7;1;0;0;1;230
80;101;0;0;0;3;0;7;1;1;1;1;1000
60;103;0;3;0;4;1;7;1;0;1;0;700
12;99;0;5;0;3;0;8;1;1;1;5;29
130;119;0;5;0;4;0;7;1;1;1;4;130
8;109;0;4;0;2;1;7;1;1;1;1;320
380;123;0;0;0;3;0;6;1;1;1;2;960
150;147;0;5;0;4;1;6;1;0;1;2;200
150;148;0;4;0;4;1;7;1;1;0;4;560
150;183;0;4;0;1;0;7;1;0;0;7;490
28;131;0;5;0;0;0;7;1;0;1;6;11
270;133;0;3;0;4;1;7;1;1;1;0;1100
70;98;0;4;0;3;0;7;1;1;1;20;600
260;107;0;1;0;3;0;7;1;1;1;18;710
180;160;0;0;0;3;0;7;1;0;0;4;520
270;193;0;0;0;1;0;7;1;1;0;1;210
190;118;0;3;0;4;0;7;1;1;1;4;830
360;106;0;0;0;1;0;7;1;1;1;1;120
30;100;0;1;0;4;1;7;1;1;1;1;6
150;109;0;5;0;2;1;7;1;1;0;0;190
250;140;0;0;0;1;0;6;1;1;0;1;230
12;107;0;5;0;1;0;7;1;0;1;0;37
450;122;0;4;0;3;0;6;1;0;0;3;1000
150;107;0;4;0;4;0;6;1;0;0;0;980
130;102;0;5;0;3;0;7;1;0;1;0;530
9;102;0;2;0;3;0;7;1;1;1;8;44
90;137;0;5;0;4;0;7;1;1;1;4;780
30;106;0;0;0;4;0;7;1;1;1;4;1000
75;95;0;0;0;3;0;7;1;0;1;0;600
18;95;0;0;0;4;0;8;1;0;1;4;95
110;120;0;0;0;1;0;6;1;1;0;2;640
130;113;0;4;0;0;0;8;1;1;1;0;960
12;103;0;5;0;3;0;7;1;1;1;0;1000
25;101;0;0;0;1;0;7;1;0;0;3;59
3;91;0;5;0;3;0;7;1;1;0;0;470
20;106;0;5;0;2;0;6;1;1;1;8;330
50;99;0;4;0;4;0;7;1;1;1;0;300
400;112;0;0;0;3;0;7;1;1;0;4;750
60;130;0;4;0;2;1;7;1;1;1;9;290
9;120;0;4;0;1;0;6;1;1;1;3;1100
300;129;0;4;0;0;0;7;1;1;0;2;1000
200;107;0;4;0;1;0;7;1;1;1;3;610
65;112;0;4;0;2;1;7;1;1;1;6;980
350;131;0;3;0;1;0;7;1;1;0;0;750
250;106;0;3;0;4;0;6;1;1;1;3;1100
180;119;0;4;0;4;0;7;1;1;1;11;1000
120;94;0;3;0;3;1;7;1;1;1;0;400
370;188;0;5;0;1;0;7;1;1;1;6;480
50;97;0;0;0;2;1;7;1;0;1;3;97
37;89;0;0;0;1;0;7;1;0;1;0;5
2;91;0;0;0;1;0;7;1;1;1;0;19
50;165;0;0;1;2;1;7;1;1;1;1;54
110;130;0;0;0;1;0;7;1;1;1;2;1100
500;129;0;0;0;4;0;7;1;1;0;5;1000
40;102;0;4;1;4;0;6;1;1;1;2;1100
60;139;0;1;0;1;0;7;1;1;0;1;1000
50;118;0;0;0;2;1;7;1;0;1;1;230
160;94;0;3;0;2;0;7;1;1;1;2;680
140;156;0;3;0;1;0;7;1;1;1;0;920
28;121;0;0;0;0;0;7;1;1;1;15;1
28;106;0;0;1;4;1;7;1;1;0;2;860
220;121;0;0;1;1;0;7;1;1;1;4;170
250;119;0;0;1;3;0;6;1;1;1;5;760
50;117;0;5;0;1;0;8;1;1;0;2;550
40;126;0;5;0;1;0;7;1;0;0;0;640
9;207;0;0;0;3;1;7;1;1;1;0;3
40;165;0;5;0;3;0;7;1;1;1;4;480
58;112;0;3;0;0;0;7;1;1;0;6;320
31;130;0;0;0;4;1;7;1;1;1;11;61
140;101;0;3;0;4;0;6;1;1;1;0;710
130;133;0;4;0;1;0;7;1;1;1;6;650
25;115;0;0;1;4;1;7;1;1;1;2;5
150;132;0;0;0;3;0;6;1;1;0;3;99
100;120;0;4;0;3;0;6;1;1;1;2;330
310;100;0;5;1;3;0;6;1;1;1;1;560
250;113;0;0;0;0;0;6;1;1;0;3;400
180;101;0;0;0;3;0;7;1;1;0;2;230
65;112;0;0;0;3;0;7;1;1;1;1;570
150;212;0;1;0;3;0;7;1;0;1;4;740
400;87;0;3;0;3;0;7;1;1;1;8;460
170;149;0;0;0;4;0;6;1;0;1;0;110
190;114;0;4;0;4;0;7;1;1;1;7;340
130;220;0;0;0;1;0;6;1;1;0;4;650
30;96;0;4;0;2;1;7;1;1;0;4;230
10;112;0;3;0;1;0;7;1;0;0;3;370
150;154;0;0;0;3;0;7;1;1;0;4;980
16;113;0;4;0;3;0;6;1;0;1;12;46
85;124;0;4;1;1;0;7;1;0;0;0;25
20;129;0;5;0;1;0;7;1;0;1;0;350
24;128;0;4;0;0;0;7;1;1;1;2;77
190;115;0;4;0;1;0;7;1;1;1;7;320
42;106;0;0;1;2;1;7;1;1;0;0;310
30;110;0;0;0;4;0;7;0;0;0;2;510
180;129;0;4;0;1;0;7;1;1;0;4;230
300;144;0;4;0;4;0;6;1;1;1;3;630
22;134;0;5;0;3;0;7;1;1;1;1;29
50;110;0;3;0;4;0;8;1;1;1;1;1000
60;109;0;4;0;1;0;6;1;1;1;1;440
150;128;0;0;0;1;0;7;1;1;1;7;340
11;101;0;0;0;3;0;7;1;0;1;0;91
150;124;0;0;0;4;0;7;1;1;1;8;850
32;153;0;0;1;1;0;7;1;0;1;0;13
45;114;0;5;0;3;0;7;1;0;0;0;9
350;153;0;0;0;1;0;7;1;1;1;5;220
