X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;D1
68;131;0;4;0;1;0;7;1;1;0;2;67
150;108;0;0;0;4;0;7;1;1;1;1;360
190;114;0;3;0;4;1;7;1;0;1;3;640
160;95;0;0;0;4;0;7;1;1;1;1;930
400;130;0;3;0;4;1;8;1;1;0;3;1000
79;145;0;5;0;3;0;7;1;1;1;0;370
64;107;0;4;1;3;0;7;1;1;0;6;780
90;113;0;4;0;3;0;8;1;1;1;2;400
16;86;0;4;0;3;0;7;1;0;1;3;72
18;93;0;5;0;1;0;7;1;0;1;1;160
65;120;0;4;0;3;0;6;1;1;1;2;370
40;102;0;4;0;4;1;7;1;0;0;8;350
120;102;0;5;0;3;0;7;1;1;1;1;370
300;117;0;3;0;0;0;7;1;1;1;0;36
310;121;0;0;0;1;0;6;1;1;1;4;520
300;117;0;3;0;1;0;7;1;1;1;1;960
270;100;0;0;0;3;0;7;1;1;1;1;270
71;170;0;0;0;4;1;8;1;1;1;0;600
20;137;0;4;0;1;0;7;1;1;1;0;770
26;93;0;0;0;2;0;7;1;0;1;2;1100
8;119;0;3;0;1;0;7;1;1;1;5;16
150;218;0;0;0;1;0;7;1;1;1;10;450
180;127;0;0;0;2;0;7;1;1;1;2;58
390;119;0;3;0;4;0;8;1;1;1;0;400
50;155;0;4;0;4;0;7;1;0;1;0;130
38;121;0;0;0;4;0;7;1;1;1;7;230
210;110;0;4;0;1;0;7;1;1;1;6;710
470;141;0;5;0;4;1;7;1;1;1;1;35
130;113;0;3;1;1;0;7;1;1;1;2;230
110;185;0;0;0;4;1;8;1;0;1;2;1
120;85;0;4;0;1;0;5;1;0;1;0;780
170;170;0;0;0;4;1;7;1;0;0;7;720
50;124;0;3;0;3;0;6;1;1;1;5;260
25;83;0;4;0;3;0;7;1;0;0;0;9
13;118;0;4;0;1;0;7;1;1;1;2;290
14;145;0;4;0;3;0;6;1;1;1;1;22
140;131;0;4;0;1;0;7;1;1;1;1;200
6;127;0;0;0;4;0;6;1;0;1;0;1
30;113;0;0;0;4;0;6;1;1;0;3;1
150;134;0;0;0;1;0;6;1;1;1;7;230
30;126;0;0;0;0;0;7;1;1;1;6;50
10;117;0;3;0;1;0;8;1;0;1;2;87
33;93;0;3;0;4;1;5;1;1;1;0;200
30;94;0;0;0;2;0;6;1;1;1;2;34
20;102;0;3;0;1;0;7;1;1;1;8;1
13;105;0;5;0;1;0;6;1;1;1;0;16
23;321;0;0;0;2;1;7;1;1;1;0;43
64;107;0;0;0;3;0;7;1;1;1;12;400
390;137;0;2;0;2;1;7;1;1;0;1;240
120;98;0;0;0;1;0;7;1;1;0;1;1000
100;126;0;0;0;4;0;7;1;1;1;1;430
6;113;0;4;0;4;0;7;1;1;1;0;100
